,Mental Health
2025-07-27,47.434363912823116
2025-08-03,52.465281297516476
2025-08-10,43.84085149518501
2025-08-17,41.684744044602134
2025-08-24,58.93360364926509
2025-08-31,47.434363912823116
2025-09-07,58.214901165737466
2025-09-14,42.403446528129756
2025-09-21,43.12214901165738
2025-09-28,49.59047136340599
2025-10-05,55.34009123162697
2025-10-12,56.05879371515459
2025-10-19,58.214901165737466
2025-10-26,49.59047136340599
2025-11-02,51.02787633046123
2025-11-09,44.55955397871263
2025-11-16,38.09123162696402
2025-11-23,37.372529143436395
2025-11-30,48.15306639635074
2025-12-07,51.02787633046123
2025-12-14,47.434363912823116
2025-12-21,50.30917384693361
2025-12-28,39.52863659401927
2026-01-04,41.684744044602134
