,Fitness
2023-11-05,73.07799442896936
2023-11-12,93.00835654596099
2023-11-19,99.65181058495821
2023-11-26,95.66573816155989
2023-12-03,89.02228412256267
2023-12-10,89.02228412256267
2023-12-17,75.73537604456824
2023-12-24,78.39275766016712
2023-12-31,83.7075208913649
2024-01-07,110.38088065836149
2024-01-14,88.53466469472745
2024-01-21,83.9354613339624
2024-01-28,91.98406721530125
2024-02-04,98.88287225644885
2024-02-11,89.68446553491871
2024-02-18,95.43346973587505
2024-02-25,106.9314781377877
2024-03-03,83.9354613339624
2024-03-10,89.68446553491871
2024-03-17,82.78566049377112
2024-03-24,88.53466469472745
2024-03-31,97.73307141625757
2024-04-07,79.33625797319732
2024-04-14,93.13386805549251
2024-04-21,83.9354613339624
2024-04-28,73.587253772241
2024-05-05,78.18645713300606
2024-05-12,87.38486385453619
2024-05-19,83.9354613339624
2024-05-26,100.03267309664011
2024-06-02,101.18247393683137
2024-06-09,96.58327057606631
2024-06-16,80.4860588133886
2024-06-23,75.88685545262354
2024-06-30,95.43346973587505
2024-07-07,87.38486385453619
2024-07-14,87.38486385453619
2024-07-21,96.58327057606631
2024-07-28,101.18247393683137
2024-08-04,88.53466469472745
2024-08-11,113.83028317893529
2024-08-18,97.73307141625757
2024-08-25,96.58327057606631
2024-09-01,100.03267309664011
2024-09-08,90.83426637510998
2024-09-15,78.18645713300606
2024-09-22,79.33625797319732
2024-09-29,88.53466469472745
2024-10-06,89.68446553491871
2024-10-13,91.98406721530125
2024-10-20,114.98008401912656
2024-10-27,89.68446553491871
2024-11-03,97.73307141625757
2024-11-10,79.33625797319732
2024-11-17,100.03267309664011
2024-11-24,102.33227477702263
2024-12-01,91.98406721530125
2024-12-08,95.43346973587505
2024-12-15,89.68446553491871
2024-12-22,81.63585965357986
2024-12-29,91.98406721530125
2025-01-05,109.23107981817023
2025-01-12,112.68048233874403
2025-01-19,86.23506301434492
2025-01-26,102.33227477702263
2025-02-02,81.63585965357986
2025-02-09,91.98406721530125
2025-02-16,75.88685545262354
2025-02-23,82.78566049377112
2025-03-02,91.98406721530125
2025-03-09,78.18645713300606
2025-03-16,88.53466469472745
2025-03-23,80.4860588133886
2025-03-30,75.88685545262354
2025-04-06,97.73307141625757
2025-04-13,89.68446553491871
2025-04-20,98.88287225644885
2025-04-27,78.18645713300606
2025-05-04,83.9354613339624
2025-05-11,89.68446553491871
2025-05-18,80.4860588133886
2025-05-25,82.78566049377112
2025-06-01,82.78566049377112
2025-06-08,64.38884705071088
2025-06-15,85.08526217415366
2025-06-22,91.98406721530125
2025-06-29,81.63585965357986
2025-07-06,89.68446553491871
2025-07-13,83.9354613339624
2025-07-20,81.63585965357986
2025-07-27,78.18645713300606
2025-08-03,88.53466469472745
2025-08-10,103.48207561721391
2025-08-17,87.38486385453619
2025-08-24,87.38486385453619
2025-08-31,81.63585965357986
2025-09-07,73.587253772241
2025-09-14,81.63585965357986
2025-09-21,88.53466469472745
2025-09-28,65.53864789090214
2025-10-05,83.9354613339624
2025-10-12,81.63585965357986
2025-10-19,82.78566049377112
2025-10-26,93.13386805549251
2025-11-02,88.53466469472745
2025-11-09,78.18645713300606
2025-11-16,95.43346973587505
2025-11-23,90.83426637510998
2025-11-30,89.68446553491871
2025-12-07,87.38486385453619
2025-12-14,89.68446553491871
2025-12-21,90.83426637510998
2025-12-28,108.08127897797897
2026-01-04,104.63187645740517
