,Business & Industrial
2025-01-05,96.18141956700465
2025-01-12,84.93943546177034
2025-01-19,88.68676349684844
2025-01-26,96.18141956700465
2025-02-02,93.68320087695258
2025-02-09,87.43765415182241
2025-02-16,91.18498218690051
2025-02-23,87.43765415182241
2025-03-02,86.18854480679637
2025-03-09,79.9429980816662
2025-03-16,93.68320087695258
2025-03-23,93.68320087695258
2025-03-30,99.92874760208275
2025-04-06,94.93231022197861
2025-04-13,92.43409153192655
2025-04-20,101.1778569471088
2025-04-27,102.42696629213482
2025-05-04,98.67963825705672
2025-05-11,111.17073170731706
2025-05-18,102.42696629213482
2025-05-25,104.92518498218689
2025-06-01,102.42696629213482
2025-06-08,108.67251301726499
2025-06-15,112.4198410523431
2025-06-22,118.66538777747327
2025-06-29,108.67251301726499
2025-07-06,106.17429432721293
2025-07-13,108.67251301726499
2025-07-20,97.43052891203068
2025-07-27,94.93231022197861
2025-08-03,96.18141956700465
2025-08-10,86.18854480679637
2025-08-17,101.1778569471088
2025-08-24,92.43409153192655
2025-08-31,88.68676349684844
2025-09-07,94.93231022197861
2025-09-14,91.18498218690051
2025-09-21,91.18498218690051
2025-09-28,76.1956700465881
2025-10-05,88.68676349684844
2025-10-12,84.93943546177034
2025-10-19,69.95012332145792
2025-10-26,82.44121677171827
2025-11-02,87.43765415182241
2025-11-09,83.6903261167443
2025-11-16,88.68676349684844
2025-11-23,81.19210742669223
2025-11-30,86.18854480679637
2025-12-07,84.93943546177034
2025-12-14,88.68676349684844
2025-12-21,84.93943546177034
2025-12-28,82.44121677171827
2026-01-04,86.18854480679637
