,Swimming Pools & Spas
2024-10-20,75.13467095759204
2024-10-27,94.28664590756648
2024-11-03,76.60789979989777
2024-11-10,78.0811286422035
2024-11-17,82.50081516912067
2024-11-24,89.8669593806493
2024-12-01,106.07247664601229
2024-12-08,111.9653920152352
2024-12-15,88.39373053834358
2024-12-22,135.5370534921268
2024-12-29,110.49216317292947
2025-01-05,104.59924780370656
2025-01-12,98.70633243448366
2025-01-19,101.65279011909512
2025-01-26,76.60789979989777
2025-02-02,95.75987474987221
2025-02-09,95.75987474987221
2025-02-16,95.75987474987221
2025-02-23,103.12601896140083
2025-03-02,85.44727285373213
2025-03-09,92.81341706526075
2025-03-16,109.01893433062375
2025-03-23,97.23310359217794
2025-03-30,114.91184969984664
2025-04-06,95.75987474987221
2025-04-13,147.32288423057264
2025-04-20,113.43862085754093
2025-04-27,103.12601896140083
2025-05-04,92.81341706526075
2025-05-11,104.59924780370656
2025-05-18,83.9740440114264
2025-05-25,73.66144211528632
2025-06-01,81.02758632681494
2025-06-08,92.81341706526075
2025-06-15,100.17956127678939
2025-06-22,85.44727285373213
2025-06-29,91.34018822295502
2025-07-06,100.17956127678939
2025-07-13,100.17956127678939
2025-07-20,92.81341706526075
2025-07-27,109.01893433062375
2025-08-03,123.751222753681
2025-08-10,125.22445159598674
2025-08-17,120.80476506906956
2025-08-24,116.38507854215237
2025-08-31,107.54570548831802
2025-09-07,103.12601896140083
2025-09-14,103.12601896140083
2025-09-21,88.39373053834358
2025-09-28,97.23310359217794
2025-10-05,101.65279011909512
2025-10-12,89.8669593806493
2025-10-19,72.18821327298059
2025-10-26,82.50081516912067
2025-11-02,91.34018822295502
2025-11-09,88.39373053834358
2025-11-16,91.34018822295502
2025-11-23,86.92050169603785
2025-11-30,64.82206906145196
2025-12-07,75.13467095759204
2025-12-14,91.34018822295502
2025-12-21,103.12601896140083
2025-12-28,116.38507854215237
