,Credit & Lending
2024-12-01,85.3565145684442
2024-12-08,80.76745464540956
2024-12-15,69.75371083012644
2024-12-22,70.67152281473336
2024-12-29,79.84964266080263
2025-01-05,72.50714678394722
2025-01-12,81.68526663001649
2025-01-19,69.75371083012644
2025-01-26,85.3565145684442
2025-02-02,79.84964266080263
2025-02-09,79.84964266080263
2025-02-16,79.84964266080263
2025-02-23,68.83589884551951
2025-03-02,62.41121495327102
2025-03-09,67.00027487630565
2025-03-16,74.34277075316108
2025-03-23,66.08246289169873
2025-03-30,74.34277075316108
2025-04-06,75.260582737768
2025-04-13,79.84964266080263
2025-04-20,87.19213853765805
2025-04-27,75.260582737768
2025-05-04,89.0277625068719
2025-05-11,78.9318306761957
2025-05-18,77.09620670698185
2025-05-25,79.84964266080263
2025-06-01,68.83589884551951
2025-06-08,67.91808686091258
2025-06-15,81.68526663001649
2025-06-22,59.657778999450244
2025-06-29,91.78119846069268
2025-07-06,81.68526663001649
2025-07-13,82.60307861462341
2025-07-20,70.67152281473336
2025-07-27,67.91808686091258
2025-08-03,67.91808686091258
2025-08-10,72.50714678394722
2025-08-17,80.76745464540956
2025-08-24,81.68526663001649
2025-08-31,69.75371083012644
2025-09-07,82.60307861462341
2025-09-14,71.58933479934029
2025-09-21,61.4934029686641
2025-09-28,76.17839472237493
2025-10-05,65.1646509070918
2025-10-12,68.83589884551951
2025-10-19,71.58933479934029
2025-10-26,70.67152281473336
2025-11-02,69.75371083012644
2025-11-09,72.50714678394722
2025-11-16,80.76745464540956
2025-11-23,76.17839472237493
2025-11-30,86.27432655305113
2025-12-07,84.43870258383727
2025-12-14,91.78119846069268
2025-12-21,84.43870258383727
2025-12-28,85.3565145684442
2026-01-04,78.01401869158877
