,Cruises & Charters
2024-08-25,75.31901666327249
2024-09-01,108.59951239820685
2024-09-08,75.31901666327249
2024-09-15,96.33827712744157
2024-09-22,91.0834620113993
2024-09-29,61.30617635382645
2024-10-06,96.33827712744157
2024-10-13,87.58025193403779
2024-10-20,98.08988216612232
2024-10-27,94.5866720887608
2024-11-03,101.59309224348384
2024-11-10,108.59951239820685
2024-11-17,136.62519301709895
2024-11-24,99.84148720480307
2024-12-01,84.07704185667627
2024-12-08,138.37679805577972
2024-12-15,98.08988216612232
2024-12-22,161.14766355862955
2024-12-29,175.16050386807558
2025-01-05,124.36395774633367
2025-01-12,112.10272247556837
2025-01-19,126.11556278501442
2025-01-26,94.5866720887608
2025-02-02,106.8479073595261
2025-02-09,129.61877286237592
2025-02-16,112.10272247556837
2025-02-23,92.83506705008006
2025-03-02,92.83506705008006
2025-03-09,126.11556278501442
2025-03-16,92.83506705008006
2025-03-23,106.8479073595261
2025-03-30,131.37037790105668
2025-04-06,110.35111743688762
2025-04-13,110.35111743688762
2025-04-20,87.58025193403779
2025-04-27,110.35111743688762
2025-05-04,101.59309224348384
2025-05-11,77.07062170195326
2025-05-18,85.82864689535704
2025-05-25,78.82222674063401
2025-06-01,112.10272247556837
2025-06-08,99.84148720480307
2025-06-15,80.57383177931477
2025-06-22,113.85432751424912
2025-06-29,85.82864689535704
2025-07-06,96.33827712744157
2025-07-13,115.60593255292989
2025-07-20,84.07704185667627
2025-07-27,91.0834620113993
2025-08-03,92.83506705008006
2025-08-10,115.60593255292989
2025-08-17,89.33185697271854
2025-08-24,122.6123527076529
2025-08-31,131.37037790105668
2025-09-07,92.83506705008006
2025-09-14,101.59309224348384
2025-09-21,105.09630232084535
2025-09-28,110.35111743688762
2025-10-05,124.36395774633367
2025-10-12,94.5866720887608
2025-10-19,66.56099146986872
2025-10-26,119.10914263029139
2025-11-02,134.8735879784182
2025-11-09,106.8479073595261
2025-11-16,36.78370581229587
2025-11-23,117.35753759161064
2025-11-30,119.10914263029139
2025-12-07,127.86716782369517
2025-12-14,101.59309224348384
2025-12-21,138.37679805577972
2025-12-28,133.12198293973745
2026-01-04,119.10914263029139
