,Advertising & Marketing
2025-07-13,119.77159172019982
2025-07-20,110.78872234118484
2025-07-27,124.26302640970732
2025-08-03,106.29728765167735
2025-08-10,110.78872234118484
2025-08-17,104.80014275517485
2025-08-24,110.78872234118484
2025-08-31,94.32012847965736
2025-09-07,98.81156316916486
2025-09-14,97.31441827266237
2025-09-21,101.80585296216985
2025-09-28,97.31441827266237
2025-10-05,100.30870806566736
2025-10-12,103.30299785867236
2025-10-19,109.29157744468235
2025-10-26,101.80585296216985
2025-11-02,101.80585296216985
2025-11-09,104.80014275517485
2025-11-16,107.79443254817984
2025-11-23,97.31441827266237
2025-11-30,103.30299785867236
2025-12-07,115.28015703069234
2025-12-14,107.79443254817984
2025-12-21,113.78301213418983
2025-12-28,112.28586723768734
