,Jobs
2025-06-08,62.10404624277458
2025-06-15,74.28131021194606
2025-06-22,62.10404624277458
2025-06-29,65.75722543352602
2025-07-06,57.233140655105984
2025-07-13,60.88631984585743
2025-07-20,59.66859344894028
2025-07-27,62.10404624277458
2025-08-03,54.79768786127168
2025-08-10,53.57996146435454
2025-08-17,57.233140655105984
2025-08-24,57.233140655105984
2025-08-31,58.45086705202313
2025-09-07,59.66859344894028
2025-09-14,59.66859344894028
2025-09-21,56.015414258188834
2025-09-28,42.6204238921002
2025-10-05,49.92678227360309
2025-10-12,47.491329479768794
2025-10-19,41.40269749518305
2025-10-26,48.709055876685944
2025-11-02,48.709055876685944
2025-11-09,47.491329479768794
2025-11-16,59.66859344894028
2025-11-23,57.233140655105984
2025-11-30,57.233140655105984
2025-12-07,58.45086705202313
2025-12-14,57.233140655105984
2025-12-21,53.57996146435454
2025-12-28,54.79768786127168
2026-01-04,56.015414258188834
