,Computer Security
2025-03-30,78.6361789650094
2025-04-06,74.01052137883238
2025-04-13,63.83407468924293
2025-04-20,76.7859159305386
2025-04-27,72.16025834436157
2025-05-04,75.8607844133032
2025-05-11,70.30999530989077
2025-05-18,75.8607844133032
2025-05-25,78.6361789650094
2025-06-01,80.48644199948022
2025-06-08,78.6361789650094
2025-06-15,81.41157351671562
2025-06-22,82.33670503395102
2025-06-29,80.48644199948022
2025-07-06,77.711047447774
2025-07-13,79.5613104822448
2025-07-20,81.41157351671562
2025-07-27,80.48644199948022
2025-08-03,77.711047447774
2025-08-10,82.33670503395102
2025-08-17,86.03723110289265
2025-08-24,92.51315172354047
2025-08-31,72.16025834436157
2025-09-07,69.38486379265535
2025-09-14,69.38486379265535
2025-09-21,68.45973227541995
2025-09-28,70.30999530989077
2025-10-05,70.30999530989077
2025-10-12,72.16025834436157
2025-10-19,67.53460075818455
2025-10-26,70.30999530989077
2025-11-02,68.45973227541995
2025-11-09,75.8607844133032
2025-11-16,73.08538986159698
2025-11-23,71.23512682712617
2025-11-30,67.53460075818455
2025-12-07,72.16025834436157
2025-12-14,71.23512682712617
2025-12-21,75.8607844133032
2025-12-28,75.8607844133032
