,Investment
2025-04-20,97.7032520325203
2025-04-27,83.49186991869917
2025-05-04,95.92682926829265
2025-05-11,95.92682926829265
2025-05-18,106.5853658536585
2025-05-25,106.5853658536585
2025-06-01,104.80894308943087
2025-06-08,101.25609756097558
2025-06-15,111.91463414634143
2025-06-22,99.47967479674794
2025-06-29,117.24390243902435
2025-07-06,104.80894308943087
2025-07-13,108.36178861788615
2025-07-20,115.46747967479672
2025-07-27,108.36178861788615
2025-08-03,115.46747967479672
2025-08-10,111.91463414634143
2025-08-17,111.91463414634143
2025-08-24,99.47967479674794
2025-08-31,99.47967479674794
2025-09-07,101.25609756097558
2025-09-14,94.15040650406502
2025-09-21,106.5853658536585
2025-09-28,104.80894308943087
2025-10-05,104.80894308943087
2025-10-12,101.25609756097558
2025-10-19,108.36178861788615
2025-10-26,115.46747967479672
2025-11-02,127.9024390243902
2025-11-09,129.67886178861784
2025-11-16,126.12601626016257
2025-11-23,122.57317073170728
2025-11-30,127.9024390243902
2025-12-07,142.11382113821134
2025-12-14,122.57317073170728
2025-12-21,90.59756097560972
2025-12-28,92.37398373983737
