,Cleaning Supplies & Services
2024-11-17,97.76172474248301
2024-11-24,119.14710202990116
2024-12-01,116.09204813169858
2024-12-08,119.14710202990116
2024-12-15,120.67462897900246
2024-12-22,132.89484457181285
2024-12-29,142.06000626642063
2025-01-05,142.06000626642063
2025-01-12,117.61957508079988
2025-01-19,116.09204813169858
2025-01-26,139.00495236821803
2025-02-02,140.53247931731931
2025-02-09,129.83979067361025
2025-02-16,120.67462897900246
2025-02-23,126.78473677540765
2025-03-02,99.28925169158431
2025-03-09,103.8718325388882
2025-03-16,122.20215592810376
2025-03-23,117.61957508079988
2025-03-30,99.28925169158431
2025-04-06,108.45441338619209
2025-04-13,87.06903609877394
2025-04-20,125.25720982630637
2025-04-27,114.56452118259728
2025-05-04,103.8718325388882
2025-05-11,102.3443055897869
2025-05-18,113.03699423349599
2025-05-25,122.20215592810376
2025-06-01,122.20215592810376
2025-06-08,102.3443055897869
2025-06-15,122.20215592810376
2025-06-22,128.31226372450897
2025-06-29,120.67462897900246
2025-07-06,108.45441338619209
2025-07-13,117.61957508079988
2025-07-20,119.14710202990116
2025-07-27,113.03699423349599
2025-08-03,113.03699423349599
2025-08-10,108.45441338619209
2025-08-17,114.56452118259728
2025-08-24,108.45441338619209
2025-08-31,103.8718325388882
2025-09-07,102.3443055897869
2025-09-14,126.78473677540765
2025-09-21,129.83979067361025
2025-09-28,103.8718325388882
2025-10-05,109.98194033529339
2025-10-12,111.50946728439469
2025-10-19,103.8718325388882
2025-10-26,106.92688643709079
2025-11-02,96.23419779338171
2025-11-09,116.09204813169858
2025-11-16,117.61957508079988
2025-11-23,108.45441338619209
2025-11-30,142.06000626642063
2025-12-07,123.72968287720506
2025-12-14,128.31226372450897
2025-12-21,125.25720982630637
2025-12-28,113.03699423349599
2026-01-04,152.75269491012972
