,Arts___Entertainment,Beauty___Fitness,Books___Literature,Entertainment_Industry,Games,Hobbies___Leisure,Cleaning_Supplies___Services,Laundry,Astrology___Divination,Pets___Animals,Libraries___Museums,Entertainment_Media,Gifts___Special_Event_Items,Photo___Video_Services,Ticket_Sales,Sports
2015-11-22,76.0,47.0,58.0,33.0,83.0,38.0,63.0,45.0,51.0,70.0,45.0,52.0,64.0,66.0,21.0,15.0
2015-11-29,77.0,53.0,59.0,36.0,82.0,43.0,57.0,53.0,58.0,74.0,41.0,55.0,67.0,78.0,18.0,14.0
2015-12-06,76.0,53.0,60.0,36.0,84.0,44.0,56.0,52.0,62.0,71.0,47.0,56.0,67.0,69.0,18.0,17.0
2015-12-13,80.0,59.0,60.0,30.0,90.0,47.0,61.0,50.0,66.0,74.0,43.0,67.0,69.0,73.0,25.0,18.0
2015-12-20,82.0,62.0,59.0,37.0,89.0,64.0,55.0,43.0,72.0,76.0,43.0,73.0,76.0,55.0,26.0,17.0
2015-12-27,88.0,54.0,65.0,39.0,100.0,93.0,67.0,49.0,95.0,74.0,46.0,67.0,92.0,59.0,25.0,22.0
2016-01-03,79.0,55.0,62.0,40.0,83.0,42.0,56.0,52.0,75.0,71.0,49.0,91.0,61.0,70.0,23.0,22.0
2016-01-10,82.0,54.0,64.0,51.0,80.0,42.0,63.0,53.0,61.0,74.0,44.0,68.0,67.0,72.0,19.0,19.0
2016-01-17,79.0,55.0,61.0,45.0,76.0,40.0,74.0,37.0,60.0,74.0,51.0,66.0,61.0,63.0,16.0,20.0
2016-01-24,79.0,52.0,60.0,37.0,74.0,39.0,51.0,39.0,64.0,73.0,48.0,53.0,65.0,86.0,19.0,20.0
2016-01-31,81.0,50.0,61.0,35.0,78.0,43.0,57.0,43.0,56.0,74.0,45.0,55.0,68.0,66.0,14.0,19.0
2016-02-07,79.0,56.0,68.0,45.0,80.0,50.0,58.0,54.0,66.0,76.0,60.0,62.0,80.0,89.0,11.0,31.0
2016-02-14,83.0,54.0,64.0,50.0,77.0,45.0,50.0,47.0,63.0,73.0,52.0,64.0,71.0,72.0,18.0,18.0
2016-02-21,80.0,53.0,64.0,40.0,80.0,37.0,69.0,40.0,61.0,78.0,40.0,56.0,61.0,70.0,20.0,23.0
2016-02-28,85.0,55.0,60.0,100.0,75.0,39.0,63.0,41.0,65.0,72.0,48.0,64.0,64.0,78.0,16.0,27.0
2016-03-06,81.0,55.0,63.0,41.0,76.0,41.0,63.0,50.0,61.0,72.0,48.0,61.0,66.0,75.0,10.0,29.0
2016-03-13,76.0,55.0,59.0,35.0,72.0,37.0,52.0,43.0,61.0,71.0,47.0,56.0,57.0,58.0,14.0,39.0
2016-03-20,83.0,57.0,64.0,32.0,77.0,42.0,60.0,46.0,59.0,73.0,44.0,67.0,59.0,60.0,19.0,42.0
2016-03-27,83.0,54.0,65.0,33.0,76.0,41.0,59.0,37.0,59.0,84.0,63.0,56.0,61.0,65.0,20.0,32.0
2016-04-03,78.0,58.0,59.0,35.0,79.0,41.0,66.0,47.0,57.0,75.0,52.0,61.0,66.0,53.0,24.0,26.0
2016-04-10,80.0,50.0,54.0,32.0,76.0,43.0,43.0,34.0,73.0,68.0,37.0,57.0,91.0,46.0,31.0,16.0
2016-04-17,81.0,60.0,62.0,35.0,83.0,39.0,57.0,41.0,61.0,76.0,40.0,89.0,59.0,70.0,18.0,17.0
2016-04-24,83.0,59.0,67.0,35.0,77.0,41.0,59.0,47.0,60.0,71.0,40.0,68.0,63.0,60.0,13.0,17.0
2016-05-01,86.0,62.0,75.0,35.0,83.0,44.0,74.0,45.0,62.0,81.0,51.0,76.0,78.0,78.0,20.0,19.0
2016-05-08,83.0,62.0,71.0,36.0,74.0,45.0,63.0,47.0,57.0,73.0,45.0,70.0,79.0,77.0,20.0,19.0
2016-05-15,79.0,57.0,66.0,34.0,73.0,38.0,53.0,64.0,53.0,71.0,54.0,55.0,71.0,70.0,12.0,21.0
2016-05-22,80.0,62.0,72.0,33.0,75.0,39.0,62.0,58.0,61.0,76.0,56.0,70.0,61.0,61.0,18.0,21.0
2016-05-29,85.0,62.0,74.0,34.0,76.0,43.0,67.0,62.0,66.0,78.0,50.0,70.0,66.0,71.0,19.0,20.0
2016-06-05,82.0,57.0,74.0,36.0,76.0,45.0,76.0,64.0,62.0,69.0,47.0,57.0,66.0,62.0,17.0,21.0
2016-06-12,81.0,56.0,72.0,34.0,79.0,41.0,62.0,57.0,64.0,74.0,40.0,64.0,72.0,59.0,16.0,27.0
