,Business News
2024-10-27,97.64818061663986
2024-11-03,119.61902125538383
2024-11-10,112.29540770913584
2024-11-17,107.41299867830385
2024-11-24,114.73661222455183
2024-12-01,102.53058964747186
2024-12-08,117.17781673996782
2024-12-15,134.2662483478798
2024-12-22,134.2662483478798
2024-12-29,117.17781673996782
2025-01-05,112.29540770913584
2025-01-12,109.85420319371984
2025-01-19,104.97179416288785
2025-01-26,134.2662483478798
2025-02-02,102.53058964747186
2025-02-09,102.53058964747186
2025-02-16,90.32456707039186
2025-02-23,92.76577158580787
2025-03-02,102.53058964747186
2025-03-09,87.88336255497588
2025-03-16,100.08938513205585
2025-03-23,104.97179416288785
2025-03-30,141.5898618941278
2025-04-06,124.50143028621582
2025-04-13,102.53058964747186
2025-04-20,141.5898618941278
2025-04-27,129.3838393170478
2025-05-04,124.50143028621582
2025-05-11,124.50143028621582
2025-05-18,119.61902125538383
2025-05-25,107.41299867830385
2025-06-01,97.64818061663986
2025-06-08,104.97179416288785
2025-06-15,104.97179416288785
2025-06-22,104.97179416288785
2025-06-29,117.17781673996782
2025-07-06,107.41299867830385
2025-07-13,104.97179416288785
2025-07-20,100.08938513205585
2025-07-27,114.73661222455183
2025-08-03,109.85420319371984
2025-08-10,85.44215803955987
2025-08-17,95.20697610122386
2025-08-24,87.88336255497588
2025-08-31,92.76577158580787
2025-09-07,100.08938513205585
2025-09-14,97.64818061663986
2025-09-21,104.97179416288785
2025-09-28,78.11854449331189
2025-10-05,102.53058964747186
2025-10-12,92.76577158580787
2025-10-19,70.7949309470639
2025-10-26,87.88336255497588
2025-11-02,100.08938513205585
2025-11-09,92.76577158580787
2025-11-16,87.88336255497588
2025-11-23,83.00095352414388
2025-11-30,83.00095352414388
2025-12-07,90.32456707039186
2025-12-14,90.32456707039186
2025-12-21,80.55974900872788
2025-12-28,85.44215803955987
2026-01-04,90.32456707039186
