,Hospitals & Treatment Centers
2023-03-05,98.7307132459971
2023-03-12,103.50800582241631
2023-03-19,105.1004366812227
2023-03-26,100.32314410480349
2023-04-02,103.50800582241631
2023-04-09,101.9155749636099
2023-04-16,101.9155749636099
2023-04-23,97.13828238719069
2023-04-30,95.54585152838428
2023-05-07,101.9155749636099
2023-05-14,100.32314410480349
2023-05-21,101.9155749636099
2023-05-28,101.9155749636099
2023-06-04,105.1004366812227
2023-06-11,109.87772925764192
2023-06-18,109.87772925764192
2023-06-25,111.47016011644833
2023-07-02,117.83988355167395
2023-07-09,119.43231441048034
2023-07-16,119.43231441048034
2023-07-23,122.61717612809316
2023-07-30,117.83988355167395
2023-08-06,122.61717612809316
2023-08-13,121.02474526928675
2023-08-20,119.43231441048034
2023-08-27,108.28529839883552
2023-09-03,119.43231441048034
2023-09-10,119.43231441048034
2023-09-17,113.06259097525474
2023-09-24,117.83988355167395
2023-10-01,121.02474526928675
2023-10-08,114.65502183406113
2023-10-15,101.9155749636099
2023-10-22,93.95342066957788
2023-10-29,106.69286754002911
2023-11-05,95.54585152838428
2023-11-12,93.95342066957788
2023-11-19,103.50800582241631
2023-11-26,105.1004366812227
2023-12-03,101.9155749636099
2023-12-10,105.1004366812227
2023-12-17,106.69286754002911
2023-12-24,113.06259097525474
2023-12-31,105.1004366812227
2024-01-07,104.28198901787027
2024-01-14,93.5864004006528
2024-01-21,94.92334897780499
2024-01-28,106.95588617217464
2024-02-04,109.629783326479
2024-02-11,104.28198901787027
2024-02-18,109.629783326479
2024-02-25,110.96673190363119
2024-03-03,102.94504044071809
2024-03-10,104.28198901787027
2024-03-17,106.95588617217464
2024-03-24,100.27114328641372
2024-03-31,105.61893759502246
2024-04-07,102.94504044071809
2024-04-14,104.28198901787027
2024-04-21,104.28198901787027
2024-04-28,105.61893759502246
2024-05-05,101.6080918635659
2024-05-12,106.95588617217464
2024-05-19,109.629783326479
2024-05-26,109.629783326479
2024-06-02,104.28198901787027
2024-06-09,109.629783326479
2024-06-16,114.97757763508774
2024-06-23,112.30368048078337
2024-06-30,117.6514747893921
2024-07-07,113.64062905793556
2024-07-14,133.6948577152183
2024-07-21,120.32537194369647
2024-07-28,120.32537194369647
2024-08-04,125.6731662523052
2024-08-11,124.33621767515301
2024-08-18,129.68401198376174
2024-08-25,127.01011482945738
2024-09-01,118.98842336654428
2024-09-08,120.32537194369647
2024-09-15,113.64062905793556
2024-09-22,113.64062905793556
2024-09-29,109.629783326479
2024-10-06,105.61893759502246
2024-10-13,102.94504044071809
2024-10-20,97.59724613210936
2024-10-27,81.55386320628315
2024-11-03,92.24945182350062
2024-11-10,97.59724613210936
2024-11-17,94.92334897780499
2024-11-24,85.56470893773971
2024-12-01,86.9016575148919
2024-12-08,90.91250324634844
2024-12-15,89.57555466919626
2024-12-22,96.26029755495718
2024-12-29,92.24945182350062
2025-01-05,93.5864004006528
2025-01-12,86.9016575148919
2025-01-19,92.24945182350062
2025-01-26,94.92334897780499
2025-02-02,90.91250324634844
2025-02-09,92.24945182350062
2025-02-16,89.57555466919626
2025-02-23,89.57555466919626
2025-03-02,90.91250324634844
2025-03-09,81.55386320628315
2025-03-16,94.92334897780499
2025-03-23,90.91250324634844
2025-03-30,86.9016575148919
2025-04-06,90.91250324634844
2025-04-13,93.5864004006528
2025-04-20,92.24945182350062
2025-04-27,89.57555466919626
2025-05-04,85.56470893773971
2025-05-11,93.5864004006528
2025-05-18,90.91250324634844
2025-05-25,88.23860609204408
2025-06-01,92.24945182350062
2025-06-08,97.59724613210936
2025-06-15,98.93419470926153
2025-06-22,94.92334897780499
2025-06-29,97.59724613210936
2025-07-06,98.93419470926153
2025-07-13,106.95588617217464
2025-07-20,104.28198901787027
2025-07-27,104.28198901787027
2025-08-03,97.59724613210936
2025-08-10,92.24945182350062
2025-08-17,110.96673190363119
2025-08-24,100.27114328641372
2025-08-31,97.59724613210936
2025-09-07,101.6080918635659
2025-09-14,97.59724613210936
2025-09-21,93.5864004006528
2025-09-28,84.22776036058752
2025-10-05,94.92334897780499
2025-10-12,88.23860609204408
