,Corporate Events
2024-01-28,78.62987975351098
2024-02-04,77.58148135679751
2024-02-11,71.29109097651663
2024-02-18,79.67827815022446
2024-02-25,74.43628616665707
2024-03-03,69.19429418308967
2024-03-10,67.0974973896627
2024-03-17,66.04909899294923
2024-03-24,56.61351342252791
2024-03-31,62.903903802808784
2024-04-07,57.66191181924139
2024-04-14,61.855505406095304
2024-04-21,62.903903802808784
2024-04-28,62.903903802808784
2024-05-05,60.80710700938183
2024-05-12,67.0974973896627
2024-05-19,63.952302199522265
2024-05-26,69.19429418308967
2024-06-02,63.952302199522265
2024-06-09,67.0974973896627
2024-06-16,68.14589578637619
2024-06-23,69.19429418308967
2024-06-30,70.24269257980315
2024-07-07,69.19429418308967
2024-07-14,72.33948937323011
2024-07-21,75.48468456337055
2024-07-28,74.43628616665707
2024-08-04,75.48468456337055
2024-08-11,76.53308296008403
2024-08-18,73.38788776994359
2024-08-25,76.53308296008403
2024-09-01,76.53308296008403
2024-09-08,75.48468456337055
2024-09-15,78.62987975351098
2024-09-22,84.92027013379186
2024-09-29,76.53308296008403
2024-10-06,65.00070059623575
2024-10-13,70.24269257980315
2024-10-20,63.952302199522265
2024-10-27,46.12952945539311
2024-11-03,68.14589578637619
2024-11-10,83.87187173707838
2024-11-17,99.59784768778059
2024-11-24,94.35585570421318
2024-12-01,71.29109097651663
2024-12-08,76.53308296008403
2024-12-15,72.33948937323011
2024-12-22,84.92027013379186
2024-12-29,67.0974973896627
2025-01-05,73.38788776994359
2025-01-12,75.48468456337055
2025-01-19,94.35585570421318
2025-01-26,81.77507494365142
2025-02-02,75.48468456337055
2025-02-09,71.29109097651663
2025-02-16,74.43628616665707
2025-02-23,74.43628616665707
2025-03-02,70.24269257980315
2025-03-09,57.66191181924139
2025-03-16,67.0974973896627
2025-03-23,68.14589578637619
2025-03-30,62.903903802808784
2025-04-06,68.14589578637619
2025-04-13,65.00070059623575
2025-04-20,68.14589578637619
2025-04-27,66.04909899294923
2025-05-04,60.80710700938183
2025-05-11,68.14589578637619
2025-05-18,69.19429418308967
2025-05-25,70.24269257980315
2025-06-01,69.19429418308967
2025-06-08,70.24269257980315
2025-06-15,73.38788776994359
2025-06-22,69.19429418308967
2025-06-29,72.33948937323011
2025-07-06,72.33948937323011
2025-07-13,71.29109097651663
2025-07-20,79.67827815022446
2025-07-27,80.72667654693794
2025-08-03,68.14589578637619
2025-08-10,63.952302199522265
2025-08-17,73.38788776994359
2025-08-24,70.24269257980315
2025-08-31,71.29109097651663
2025-09-07,78.62987975351098
2025-09-14,77.58148135679751
2025-09-21,74.43628616665707
2025-09-28,60.80710700938183
2025-10-05,76.53308296008403
2025-10-12,69.19429418308967
2025-10-19,46.12952945539311
2025-10-26,75.48468456337055
2025-11-02,80.72667654693794
2025-11-09,85.96866853050534
2025-11-16,104.83983967134797
2025-11-23,95.40425410092666
2025-11-30,73.38788776994359
2025-12-07,72.33948937323011
2025-12-14,73.38788776994359
2025-12-21,73.38788776994359
2025-12-28,68.14589578637619
2026-01-04,76.53308296008403
